,Achillea_lanulosa,Acomastylis_rossii,Agoseris_aurantiaca,Allium_geyeri,Angelica_grayi,Antennaria_alpina,Arenaria_fendleri,Artemesia_pattersonii,Artemesia_scopulorum,Bistorta_bistortoides,Bistorta_vivipara,Calmagrostis_canadensis,Caltha_leptosepala,Campanula_uniflora,Carex_foenea,Carex_nova,Carex_rupestris,Carex_scopulorum,Castilleja_occidentalis,Cerastium_arvense,Chionophila_jamesii,Cryptantha_cana,Danthonia_intermedia,Deschampsia_caespitosa,Draba_streptocarpa,Elymus_scriberneri,Erigeron_peregrinus,Erigeron_pinnatisectus,Erigeron_simplex,Eritrichium_aretioides,Erysimum_capitatum,Festuca_brachyphylla,Gentianoides_algida,Hieracium_gracile,Hymenoyxs_grandiflora,Juncus_drummondii,Kobresia_myosuroides,Lewisia_pygmaea,Lloydia_serotina,Luzula_spicata,Mertensia_lanceolata,Minuartia_obtusiloba,Oreoxis_alpina,Paronychia_pulvinata,Pedicularis_parryi,Penstemon_whippleanus,Phleum_pratense,Phlox_sibirica,Poa_alpina,Poa_epilis,Poa_glauca,Potentilla_concinna,Potentilla_diversifolia,Pseudocymopterus_montanus,Ranunculus_adoneus,Salix_arctica,Saxifraga_rhomboidea,Sedum_lanceolatum,Senicio_crocatus,Sibbaldia_procumbens,Silene_acaulis,Solidago_spathulata,Taraxacum_officinale,Tetraneuris_acaulis,Thlaspi_montanum,Tonestus_pygmaeus,Trifolium_dasyphyllum,Trifolium_parryi,Trisetum_spicatum,Vaccinium_cespitosum,Viola_biflora
11,0,2.816901408,0,1.408450704,0,0,1.408450704,4.225352113,0,0,0,8.450704225,0,0,0,0,21.12676056,0,0,0,0,0,0,0,0.704225352,4.225352113,0,0,0,0.704225352,1.408450704,0.704225352,0,0,1.408450704,0,0,0,1.408450704,0,0,15.49295775,7.042253521,7.042253521,0,0,0,4.225352113,0.704225352,0,0,1.408450704,0,0,0,0,0,0,0,0,4.225352113,0,0,0.704225352,0,1.408450704,7.042253521,0,0,0,0
12,0,0,0,0.584795322,0,0,10.52631579,0.584795322,0,0,0,1.169590643,0,0,0,0,12.86549708,0,0.584795322,0,0,0,0,0,0.584795322,1.169590643,0,0,0,0.584795322,0,0.584795322,0,0,0,0,0,0,2.339181287,0,0.584795322,1.169590643,11.69590643,0.584795322,0,0,0,1.169590643,1.169590643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584795322,0,1.169590643,50.29239766,0,0,0,0
13,0,6.153846154,0,0,0,0,3.076923077,0.769230769,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0.769230769,6.153846154,0,0,0,1.538461538,0,0.769230769,0,0,0,0,36.92307692,0,3.076923077,1.538461538,0,4.615384615,3.076923077,1.538461538,0,0,0,6.153846154,0,0,0,0.769230769,0,0,0,0,0,0,0,0,1.538461538,0,0,0.769230769,0,0,0,0,0,0,0
14,0,1.923076923,0,0,0,0,7.692307692,1.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961538462,0,0,0,1.923076923,0,9.615384615,0,0,0,0,11.53846154,0,1.923076923,0,0,19.23076923,7.692307692,9.615384615,0,0,0,11.53846154,0,0,0,0.961538462,0,0,0,0,0,0,0,0,5.769230769,0,0,0.961538462,0,3.846153846,1.923076923,0,0,0,0
15,0,2.816901408,0,0,0,0,8.450704225,0,0,0,0,2.816901408,0,0,0,0,29.57746479,0,0.704225352,0,0,0,0,0,0.704225352,5.633802817,0,0,0,1.408450704,1.408450704,1.408450704,0,0,0,0,4.225352113,0,8.450704225,0,0,4.225352113,7.042253521,1.408450704,0,0,0,8.450704225,5.633802817,0,0,0,0,0,0,0,0,0,0,0,2.816901408,0,0,1.408450704,0,1.408450704,0,0,0,0,0
16,0,3.361344538,0,0,0,0,3.361344538,1.680672269,0,0,0,0.840336134,0,0,0,0,10.08403361,0,0,0,0,0,0,0,0,0,0,0,0,1.680672269,0.840336134,0.840336134,0,0,0,0,43.69747899,0,0.840336134,0,0,5.042016807,8.403361345,1.680672269,0,0,0,5.042016807,1.680672269,0,0,0,0,0,0,0,0,0,0,0,5.042016807,0,0,5.042016807,0,0.840336134,0,0,0,0,0
17,0,2.919708029,0,0,0,0,0.729927007,1.459854015,0,0,0,0,0,0,0,0,14.59854015,0,0.729927007,0,0,0,0,0,0,2.919708029,0,0,0,0.729927007,0,0,0,0,0,0,40.87591241,0,8.759124088,0,0,0.729927007,8.759124088,0,0,0,0,4.379562044,0,0,0,0,0,0,0,0,0,0,0,0,4.379562044,0,0,2.919708029,0,0.729927007,4.379562044,0,0,0,0
18,0,1.709401709,0,0,0,0,5.128205128,5.128205128,0,0,0,0,0,0,0,0,11.96581197,0,0,0,0,0,0,0,1.709401709,1.709401709,0,0,0,3.418803419,0,1.709401709,0,0,0,0,34.18803419,0,0,0,0,5.128205128,8.547008547,1.709401709,0,0,0,5.128205128,3.418803419,0,0,0,0,0,0,0,0,0,0,0,1.709401709,0,0,0.854700855,0,1.709401709,3.418803419,0,0,0,0
19,0,2.836879433,0,0,0,0,1.418439716,2.836879433,0,0,0,0,0,0,0,0,9.929078014,0,0.709219858,0,0,0,0,0,1.418439716,5.673758865,0,0,0,0.709219858,0,0,0,0,0,0,53.90070922,0,4.255319149,0,0,4.255319149,1.418439716,0.709219858,0,0,0,2.836879433,0,0,0,0,0,0,0,0,0,0,0,0,1.418439716,0,0,1.418439716,0,0,4.255319149,0,0,0,0
21,0,1.047120419,0,1.047120419,0,0,3.141361257,3.141361257,0,0,0,1.047120419,0,0,0,0,6.282722513,0,0.523560209,0,0,0,0,0,0,1.047120419,0,0,0,0,0,0.523560209,0,0,0,0,2.094240838,0,6.282722513,0,2.094240838,3.141361257,7.329842932,1.047120419,0,0,0,0.523560209,4.188481675,0,0,1.047120419,0,0,0,0,0,0,0,0,0,0,0,1.047120419,0,2.094240838,49.21465969,0,0,0,2.094240838
22,0,4.444444444,0,0,0,0,13.33333333,4.444444444,0,0,0,2.222222222,0,0,0,0,10,0,2.222222222,0,0,0,0,0,0.555555556,4.444444444,0,0,0,0,0,0,0,0,1.111111111,0,0,0,0.555555556,0,2.222222222,4.444444444,13.33333333,2.222222222,0,0,0,2.222222222,7.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555555556,23.33333333,0,0,0,0
23,0,6.451612903,0,0.537634409,0,0,2.150537634,4.301075269,0,0,0,7.52688172,0,0,0,0,16.12903226,0,1.075268817,0,0,0,0,0,0,0,0,0,0,0,0,1.075268817,0,0,0,0,0,0,1.075268817,0,9.677419355,0.537634409,3.225806452,1.075268817,0,0,0,2.150537634,5.376344086,0,0,1.075268817,0,0,0,0,0,0,0,0,0,0,0,0.537634409,0,0.537634409,35.48387097,0,0,0,0
24,0,1.333333333,0,0,0,0,0.666666667,0.666666667,8,0,0,0,0,0,0,0,17.33333333,0,6.666666667,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0.666666667,0,0,5.333333333,0,1.333333333,0,0,0,1.333333333,5.333333333,6.666666667,1.333333333,0,0,0,1.333333333,1.333333333,0,0,0,0,0,0,0,0,0,0,0,10.66666667,0,0,1.333333333,0.666666667,1.333333333,25.33333333,0,0,0,0.666666667
25,0,0,0,0,0,0,10.84337349,7.228915663,2.409638554,0,0,1.204819277,0,0,0,0,10.84337349,0,2.409638554,0,0,0,0,0,0.602409639,2.409638554,0,0,0,0.602409639,0,1.204819277,0,0,0,0,0,0,0,0,0,6.024096386,12.04819277,1.204819277,0,0,0,1.204819277,2.409638554,0,0,0,0,0,0,0,0,1.204819277,0,0,7.228915663,0,0,2.409638554,0,6.024096386,20.48192771,0,0,0,0
26,0,1.27388535,0,1.27388535,0,0,5.095541401,1.27388535,2.547770701,0,0,1.27388535,0,0,0,0,28.02547771,0,2.547770701,0,0,0,0,0,0.636942675,2.547770701,0,0,0,0.636942675,0,0.636942675,0,0,1.27388535,0,11.46496815,0,0,0,0,7.643312102,12.7388535,0.636942675,0,0,0,2.547770701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.821656051,0,1.27388535,10.1910828,0,0,0,0
